Group,Common Name,Species Code,Call,Reference,Granularity,BinSize_m,Notes,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Parameter 7,Parameter 8,Var17
,65 kHz Beaked Whale,BW65,Buzzes,,,,,,,,,,,,,
,65 kHz Beaked Whale,BW65,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,70 kHz Beaked Whale,BW70,Clicks,,,,,Min_Hz,Peak_Hz,Max_Hz,,,,,,
,70 kHz Beaked Whale,BW70,Buzzes,,,,,,,,,,,,,
,70 kHz Beaked Whale,BW70,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Unidentified Beaked Whale,UBW,Clicks,,,,,Min_Hz,Peak_Hz,Max_Hz,,,,,,
,Unidentified Beaked Whale,UBW,Buzzes,,,,,,,,,,,,,
,Unidentified Beaked Whale,UBW,Whistles,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Pinniped,Unidentified Pinniped,UP,Bark,,,,,,,,,,,,,
,Unidentified Pinniped,UP,Other,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Unidentified Marine Mammal,Unidentified Marine Mammal,UMM,Other,,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,,,,,,,,,,,,,,,,
Anthropogenic,Anthropogenic,Anthro,Explosion,,,,,Start_Hz,End_Hz,Duration_s,RL_dB,Max_Hz,Duration_s,,,
,Anthropogenic,Anthro,Communications,,,,,Start_Hz,End_Hz,Duration_s,RL_dB,Min_Hz,Peak_Hz,Max_Hz,,
,Anthropogenic,Anthro,Ship/Broadband,,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Anthropogenic,Anthro,Ship/Narrowband,,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Anthropogenic,Anthro,Ship/Low Frequency,,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Anthropogenic,Anthro,Ship/Small Boat,,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Anthropogenic,Anthro,Ship/Other,,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Anthropogenic,Anthro,Pile driving,,,,,Start_Hz,End_Hz,Duration_s,RL_dB,Min_Hz,Peak_Hz,Max_Hz,,
,Anthropogenic,Anthro,Airguns,,,,,Start_Hz,End_Hz,Duration_s,RL_dB,Min_Hz,Peak_Hz,Max_Hz,,
,Anthropogenic,Anthro,Active Sonar/LFA<500Hz,,,,,Min_Hz,Peak_Hz,Max_Hz,,,,,,
,Anthropogenic,Anthro,Active Sonar/LFA>500Hz,,,,,Min_Hz,Peak_Hz,Max_Hz,,,,,,
